nuevocodigo,eliminar,id,alterno,alterno2,descripcion,sustancia,unidad,gramaje,presentacion,plista,dctoprov,arancel,mcom,madm,costoreal,m1,m2,m3,p1,p2,p3,familia,nombrefamilia,clase,nombreclase,linea,nombrelinea,fecha,alta,impuesto,m4,m5,m6,p4,p5,p6,entero,autocant,minimo,maximo,imagen,existencia,ultcompra,ultventa,proveedor,nombre
,,316-102401600,102401600,30171612,BRAZO DE PROYECCION ACERO INOX 16' (JUEGO),,JGO,4,JGO,113.83,31.96,0.00,0.00,0.00,113.83,26.00,24.00,24.00,178.44,173.74,173.74,3,HERRAJES,14,HERRAJES,34,BRAZO DE PROYECCION,3/21/2025,7/14/2025,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,316-1024-16,0.00,,02-03-26,26,"HERRALUM INDUSTRIAL, S.A. DE C.V."
,,316-102402000,102402000,30171612,BRAZO DE PROYECCION ACERO INOX 20' (JUEGO),,JGO,4,JGO,130.16,0.00,0.00,0.00,0.00,130.16,26.00,24.00,24.00,204.03,198.67,198.67,3,HERRAJES,14,HERRAJES,34,BRAZO DE PROYECCION,08-04-25,1/24/2026,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,316-1024-20,0.00,,10-02-26,26,"HERRALUM INDUSTRIAL, S.A. DE C.V."
,,316-102402400,102402400,30171612,BRAZO DE PROYECCION ACERO INOX 24' (JUEGO),,JGO,4,JGO,153.63,0.00,0.00,0.00,0.00,153.63,26.00,24.00,24.00,240.83,234.49,234.49,3,HERRAJES,14,HERRAJES,34,BRAZO DE PROYECCION,08-04-25,5/28/2025,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,316-1024-24,0.00,,11/21/2025,26,"HERRALUM INDUSTRIAL, S.A. DE C.V."
,,316-102400600,102400600,30171612,BRAZO DE PROYECCION ACERO INOX 6' (JUEGO),,JGO,4,JGO,70.76,31.96,0.00,0.00,0.00,70.76,26.00,24.00,24.00,110.92,108.00,108.00,3,HERRAJES,14,HERRAJES,34,BRAZO DE PROYECCION,3/21/2025,01-05-25,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,316-1024-6,0.00,,06-02-26,26,"HERRALUM INDUSTRIAL, S.A. DE C.V."
,,316-102400800,102400800,30171612,BRAZO DE PROYECCION ACERO INOX 8' (JUEGO),,JGO,4,JGO,78.52,0.00,0.00,0.00,0.00,78.52,26.00,24.00,24.00,123.09,119.85,119.85,3,HERRAJES,14,HERRAJES,34,BRAZO DE PROYECCION,08-04-25,03-07-25,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,316-1024-8,0.00,,04-02-26,26,"HERRALUM INDUSTRIAL, S.A. DE C.V."
,,316-1163000GR,1163000GR,30171612,BRAZO TELESCOPICO P/LINEA EUROVENT NATURAL,,PZA,4,PZA,128.46,31.96,0.00,0.00,0.00,128.46,26.00,24.00,24.00,201.37,196.07,196.07,3,HERRAJES,14,HERRAJES,34,BRAZO DE PROYECCION,3/21/2025,06-06-25,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,316-1163-NAT,0.00,,06-02-26,26,"HERRALUM INDUSTRIAL, S.A. DE C.V."
,,316-1163000NE,1163000NE,30171612,BRAZO TELESCOPICO P/LINEA EUROVENT NEGRO,,PZA,4,PZA,128.46,31.96,0.00,0.00,0.00,128.46,26.00,24.00,24.00,201.37,196.07,196.07,3,HERRAJES,14,HERRAJES,34,BRAZO DE PROYECCION,3/21/2025,02-04-25,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,316-1163-NE,0.00,,09-03-26,26,"HERRALUM INDUSTRIAL, S.A. DE C.V."
,,40-PC4N100180CR,PC4N100180CR,30265802,BRISA PLUS 1.00 X 180 CRISTAL,,PZA,3,PZA,264.82,0.00,0.00,0.00,0.00,264.82,26.00,24.00,24.00,415.12,404.20,404.20,4,PLASTICOS,15,PLASTICOS,50,PLASTICOS LABRADOS,03-12-24,05-04-25,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,40-PC4N100180CR,0.00,,08-01-26,6,"PLASTICOS ESPECIALES GAREN, S A DE C V"
,,40-PC4N100180HU,PC4N100180HU,30265802,BRISA PLUS 1.00 X 180 HUMO,,PZA,3,PZA,264.82,0.00,0.00,0.00,0.00,264.82,26.00,24.00,24.00,415.12,404.20,404.20,4,PLASTICOS,15,PLASTICOS,50,PLASTICOS LABRADOS,02-10-24,4/24/2025,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,40-PC4N100180HU,0.00,,04-06-25,6,"PLASTICOS ESPECIALES GAREN, S A DE C V"
,,40-PC4N100180VC,PC4N100180VC,30265802,BRISA PLUS 1.00 X 180 VERDE CRISTAL,,PZA,3,PZA,264.82,0.00,0.00,0.00,0.00,264.82,26.00,24.00,24.00,415.12,404.20,404.20,4,PLASTICOS,15,PLASTICOS,50,PLASTICOS LABRADOS,02-10-24,5/28/2025,16.00,0.00,0.00,0.00,0.00,0.00,0.00,FALSE,FALSE,0.00,0.00,40-PC4N100180VC,0.00,,06-12-25,6,"PLASTICOS ESPECIALES GAREN, S A DE C V"
